标题,地区,位置,具体位置,均价,平方米每元/单位,总价,类型,面积,标签,室厅数,均价/平方米每元
云裳峯尚,白云,同和,白云区白水塘文明路1号,55000, 元/㎡(均价),总价562-800(万/套),在售,建面 78-133㎡,"车位充足, 人车分流, 品牌房企, 休闲会所","3室, 4室","55000,  元/㎡(均价)"
侨鑫保利汇景台,天河,汇景新城,科韵北路23号,136000, 元/㎡(均价),总价2400-4060(万/套),在售,建面 173-290㎡,"车位充足, 绿化率高, 置换改善, 高品质小区","4室, 5室","136000,  元/㎡(均价)"
金科景业·雍景园,增城,中新镇,坑贝地铁站B口东100米,24500, 元/㎡(均价),总价70-125(万/套),待售,建面 36-86㎡,"低总价, 车位充足, 人车分流, 品牌房企",1室,"24500,  元/㎡(均价)"
保利天汇,天河,黄村,大观中路保利天汇,55000, 元/㎡(均价),总价616(万/套),在售,建面 112㎡,"车位充足, 人车分流, 国央企, 品牌房企",1室,"55000,  元/㎡(均价)"
越秀·大学·星汇城,番禺,国际创新城,广州市番禺区新造镇曾边大街66号,38000, 元/㎡(均价),总价325-550(万/套),在售,建面 88-125㎡,"低总价, 车位充足, 绿化率高, 国央企","3室, 4室, 5室","38000,  元/㎡(均价)"
保利珑悦,增城,永宁,广州市增城区创业大道,12000, 元/㎡(均价),总价85-142(万/套),在售,建面 77-105㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室","12000,  元/㎡(均价)"
飞晟汇,黄埔,香雪,广州市黄埔区科学城开创大道彩文路166号,21800, 元/㎡(均价),总价185-1822(万/套),在售,建面 120-750㎡,"车位充足, 近地铁, 地铁沿线, loft","1室, 4室, 5室","21800,  元/㎡(均价)"
路劲星棠,增城,白江,东洲大道路劲星棠,16000, 元/㎡(均价),总价128-150(万/套),在售,建面 78-95㎡,"车位充足, 人车分流, 品牌房企, 地铁沿线","2室, 4室","16000,  元/㎡(均价)"
知识城投资嘉达·山与墅,黄埔,知识城,广东省广州市黄埔区Y079与长庚北街交叉路口往西约200米,45000, 元/㎡(均价),总价600-900(万/套),在售,建面 166-175㎡,"车位充足, 绿化率高, 国央企, 置换改善","3室, 4室","45000,  元/㎡(均价)"
远洋天成,增城,新塘北,广东省广州市增城区石新路,16500, 元/㎡(均价),总价118-180(万/套),在售,建面 69-107㎡,"人车分流, 小型社区, 国央企, 地铁沿线","3室, 4室","16500,  元/㎡(均价)"
广晟中国铁建花语天珹,花都,花城街,黄槐路广晟中铁建花语天珹,21000, 元/㎡(均价),总价160-480(万/套),在售,建面 88-188㎡,"车位充足, 绿化率高, 国央企, 品牌房企","2室, 3室, 4室","21000,  元/㎡(均价)"
金地商置都会峯范,花都,铁路西,新街大道100号,16500, 元/㎡(均价),总价130-230(万/套),在售,建面 81-125㎡,"低总价, 车位充足, 人车分流, 品牌房企","2室, 3室","16500,  元/㎡(均价)"
中建凤榕台,增城,朱村,广东省广州市增城区福昆线辅路,23000, 元/㎡(均价),总价154-236(万/套),在售,建面 67-103㎡,"人车分流, 大型社区, 国央企, 品牌房企","3室, 4室","23000,  元/㎡(均价)"
中铁建信达花语天宸,黄埔,科学城,广汕公路与班岭路交叉西南420米,41000, 元/㎡(均价),总价420-800(万/套),在售,建面 97-168㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","41000,  元/㎡(均价)"
中盛顺和家园,增城,荔城增江,广汕公路中盛顺和家园,12000, 元/㎡(均价),总价115-205(万/套),在售,建面 83-143㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","12000,  元/㎡(均价)"
中旅名门府,花都,镜湖大道,G107中旅名门府,18500, 元/㎡(均价),总价150-250(万/套),在售,建面 80-116㎡,"低总价, 车位充足, 绿化率高, 国央企","2室, 3室","18500,  元/㎡(均价)"
方圆滨江壹号,海珠,客村,海珠区艺景路与友邻三路交叉口南120米,90000, 元/㎡(均价),总价700-1580(万/套),在售,建面 90-132㎡,"绿化率高, 人车分流, 品牌房企, 近地铁","3室, 4室","90000,  元/㎡(均价)"
翰盛府,番禺,汉溪长隆,汉兴西路锦绣香江拾光盛境,80000, 元/㎡(均价),总价430-1700(万/套),在售,建面 78-215㎡,"绿化率高, 低密居所, 置换改善, 高品质小区","3室, 4室","80000,  元/㎡(均价)"
中海保利朗阅,荔湾,西朗,广东省广州市荔湾区,50000, 元/㎡(均价),总价490-1050(万/套),在售,建面 98-182㎡,"车位充足, 绿化率高, 国央企, 品牌房企","2室, 3室, 4室","50000,  元/㎡(均价)"
珠江未来城,番禺,莲花山,广东省广州市番禺区石楼镇胜洲村龙启路80号,11000, 元/㎡(均价),总价40-95(万/套),在售,建面 36-68㎡,"低单价, 低总价, 绿化率高, 人车分流","1室, 2室","11000,  元/㎡(均价)"
星河畔月湾,南沙,横沥,新广一路星河畔月湾,20000, 元/㎡(均价),总价160-260(万/套),在售,建面 80-126㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","20000,  元/㎡(均价)"
振业天成,黄埔,科学城,广州市黄埔区联和街黄陂四路,39000, 元/㎡(均价),总价498-800(万/套),在售,建面 104-168㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"39000,  元/㎡(均价)"
绿城桂语汀澜,南沙,明珠湾,广州市南沙区横沥镇沥岛三多涌以东、义沙路以西、横沥大道东以南,28000, 元/㎡(均价),总价260-406(万/套),在售,建面 99-140㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"28000,  元/㎡(均价)"
琶洲南TOD,海珠,赤岗,广东省广州市海珠区,125000, 元/㎡(均价),总价2500-3500(万/套),在售,建面 142-276㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室, 5室","125000,  元/㎡(均价)"
招商湾区1872,南沙,东涌,南沙庆盛港科大广州校区旁,22000, 元/㎡(均价),总价170-230(万/套),在售,建面 79-105㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","22000,  元/㎡(均价)"
海语天悦湾,南沙,明珠湾,凤凰大道越秀中国铁建南投海语天悦湾,28000, 元/㎡(均价),总价230-460(万/套),在售,建面 80-142㎡,"车位充足, 绿化率高, 国央企, 品牌房企","2室, 3室","28000,  元/㎡(均价)"
国贸学原,增城,荔城西区,广汕公路国贸学原,12600, 元/㎡(均价),总价88-180(万/套),在售,建面 76-128㎡,"低单价, 低总价, 人车分流, 大型社区","2室, 3室, 4室","12600,  元/㎡(均价)"
星河江缦,荔湾,滘口,广东省广州市荔湾区滘口大街与鹅潭路交叉口西北,70000, 元/㎡(均价),总价900-2000(万/套),在售,建面 179-235㎡,"车位充足, 绿化率高, 品牌房企, 近地铁",4室,"70000,  元/㎡(均价)"
公交珠实花城云著,白云,夏茅,广花一路公交珠实花城云著,35000, 元/㎡(均价),总价249-320(万/套),在售,建面 69-87㎡,"低总价, 车位充足, 人车分流, 国央企","3室, 4室","35000,  元/㎡(均价)"
中海江泰里,海珠,江燕路,海珠区凤阳街江泰路36号,65000, 元/㎡(均价),总价520-730(万/套),在售,建面 75-105㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室","65000,  元/㎡(均价)"
保利水木芳华,增城,朱村,朱村大道西保利水木芳华,12000, 元/㎡(均价),总价100-164(万/套),在售,建面 67-103㎡,"低单价, 低总价, 人车分流, 大型社区","1室, 2室","12000,  元/㎡(均价)"
保利领秀海,番禺,莲花山,广州市番禺区石楼镇鲤鱼岗9号名人山庄,22000, 元/㎡(均价),总价120-480(万/套),在售,建面 63-170㎡,"低单价, 低总价, 绿化率高, 人车分流","3室, 4室","22000,  元/㎡(均价)"
云麓花城,白云,太和,白云城投云麓花城，太和镇沙亭北路南侧地块,23000, 元/㎡(均价),总价154-240(万/套),在售,建面 67-97㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","23000,  元/㎡(均价)"
电建都汇府,花都,新区,广东省广州市花都区迎宾大道,36000, 元/㎡(均价),总价430-730(万/套),在售,建面 120-190㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","36000,  元/㎡(均价)"
金地公园名著,增城,永宁,广东省广州市增城区新新公路与创盈路交叉口西南140米,11000, 元/㎡(均价),总价75-100(万/套),在售,建面 69-106㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室","11000,  元/㎡(均价)"
广州滨江上都璇湾,荔湾,鹤洞,芳村大道南广州滨江上都,125000, 元/㎡(均价),总价1312.5-2125(万/套),在售,建面 105-355㎡,"车位充足, 绿化率高, 品牌房企, 多轨交汇","2室, 3室, 4室","125000,  元/㎡(均价)"
中海映澜台,海珠,工业大道南,新业路中海映澜台,110000, 元/㎡(均价),总价2200-2900(万/套),在售,建面 141-246㎡,"车位充足, 人车分流, 国央企, 品牌房企","4室, 5室","110000,  元/㎡(均价)"
保利湖光悦色,海珠,赤岗,华洲路保利湖光悦色,75000, 元/㎡(均价),总价850-1700(万/套),在售,建面 120-200㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"75000,  元/㎡(均价)"
中洲紫轩,黄埔,鱼珠,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,35000, 元/㎡(均价),总价156-550(万/套),待售,建面 41-115㎡,"低总价, 车位充足, 人车分流, 品牌房企",,"35000,  元/㎡(均价)"
广垦天河1号,天河,沙太南,怡新路广垦天河1号,30000, 元/㎡(均价),总价112-132(万/套),在售,建面 40㎡,"低总价, 人车分流, 封闭管理, 国央企","1室, 2室","30000,  元/㎡(均价)"
越秀星耀TOD,增城,新塘北,环城路越秀·星耀TOD,16000, 元/㎡(均价),总价58-104(万/套),在售,建面 36-65㎡,"人车分流, 大型社区, 近地铁, 地铁沿线","2室, 3室","16000,  元/㎡(均价)"
珠光海珠新城,海珠,南洲,南洲路975号,55000, 元/㎡(均价),总价475-2300(万/套),在售,建面 95-230㎡,"车位充足, 绿化率高, 多轨交汇, 地铁沿线","3室, 4室, 5室","55000,  元/㎡(均价)"
公园海,南沙,南沙湾,环市大道南公园海,价格待定,,,待售,,"车位充足, 绿化率高, 国央企, 品牌房企",,价格待定
联发|悦璞园,增城,石滩镇,南北大道联发悦璞,价格待定,,,待售,,"小型社区, 国央企, 品牌房企, 公交直达",,价格待定
龙狮璟珑府,黄埔,知识城,Y079龙狮璟珑府,23000, 元/㎡(均价),总价170-480(万/套),在售,建面 91-168㎡,"低单价, 低总价, 绿化率高, 低密居所","3室, 4室","23000,  元/㎡(均价)"
广州城投·空港1号,花都,镜湖大道,广州市花都区雅新大道（黄广中学南侧）,20000, 元/㎡(均价),总价190-270(万/套),在售,建面 79-112㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","20000,  元/㎡(均价)"
时代天境（花都）,花都,旧区,天贵路时代天境（花都）,价格待定,,,待售,,"人车分流, 小型社区, 品牌房企, 地铁沿线",,价格待定
粤海·云港城,白云,白云大道南,广东省广州市白云区齐心路84号（白云公园站旁）,85000, 元/㎡(均价),总价1250-2500(万/套),在售,建面 140-264㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"85000,  元/㎡(均价)"
力高大家·美颂,增城,荔城西区,增城区北绕线力高大家·美颂,价格待定,,,待售,,"小型社区, 品牌房企, 地铁沿线, 公交直达",,价格待定
珠江广钢花城,荔湾,东塱,广州市荔湾区荷景路5号,35000, 元/㎡(均价),总价310-460(万/套),在售,建面 67-114㎡,"低总价, 绿化率高, 国央企, 品牌房企","3室, 4室, 5室","35000,  元/㎡(均价)"
珠江·金瑶台,海珠,昌岗,广东省广州市海珠区崇礼大街18号,50000, 元/㎡(均价),总价400-510(万/套),在售,建面 79-103㎡,"特价好房, 绿化率高, 人车分流, 国央企","2室, 3室","50000,  元/㎡(均价)"
富好城繁华里,增城,新塘北,广东省广州市增城区富好城路30,12000, 元/㎡(均价),总价100-130(万/套),在售,建面 85-101㎡,"低单价, 低总价, 人车分流, 大型社区",3室,"12000,  元/㎡(均价)"
北大科技园·国际科创广场,白云,石井,石沙公路81号,价格待定,,,待售,,"小型社区, 近地铁, 地铁沿线, 综合商场",,价格待定
利通金融中心,南沙,明珠湾,潭州路利通金融中心,25000, 元/㎡(均价),,在售,,"车位充足, 大型社区, 品牌房企, 地铁沿线",,"25000,  元/㎡(均价)"
广州城投禧阅盛汇,增城,凤凰城,汽车城大道广州城投禧阅盛汇,价格待定,,,待售,,"人车分流, 大型社区, 国央企, 品牌房企",,价格待定
富力富云山,白云,江夏,黄石西街23号,价格待定,,,待售,,"小型社区, 品牌房企, 近地铁, 地铁沿线",,价格待定
天地源伴山溪谷,番禺,石楼,沙东路天地源伴山溪谷,22000, 元/㎡(均价),总价180-226(万/套),在售,建面 83-103㎡,"低单价, 低总价, 车位充足, 绿化率高","2室, 3室","22000,  元/㎡(均价)"
广开控股城投云锦,黄埔,长岭居,萝岭路广开控股城投云锦,45000, 元/㎡(均价),总价550-870(万/套),在售,建面 124-186㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","45000,  元/㎡(均价)"
御璟兰园,南沙,明珠湾,凤凰大道融朗园,30000, 元/㎡(均价),总价445(万/套),在售,建面 88-135㎡,"低总价, 车位充足, 人车分流, 国央企",5室,"30000,  元/㎡(均价)"
合生中央城（商业）,黄埔,香雪,开源大道22号,60000, 元/㎡(均价),总价220-260(万/套),在售,建面 40-52㎡,"人车分流, 大型社区, 休闲会所, 自持商业",1室,"60000,  元/㎡(均价)"
星河江堤春晓,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,33000, 元/㎡(均价),总价350(万/套),在售,建面 99-133㎡,"车位充足, 人车分流, 品牌房企, 自持商业",,"33000,  元/㎡(均价)"
科苑壹号,南沙,南沙湾,广东省广州市南沙区南沙湾南横地铁站旁,24000, 元/㎡(均价),总价430-550(万/套),在售,建面 126-165㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"24000,  元/㎡(均价)"
越秀江海潮鸣,南沙,明珠湾,安益路越秀江海潮鸣,28000, 元/㎡(均价),总价301-520(万/套),在售,建面 96-140㎡,"车位充足, 人车分流, 国央企, 品牌房企","2室, 3室","28000,  元/㎡(均价)"
越秀大学城和樾府,番禺,国际创新城,兴业大道越秀·大学城·和樾府,50000, 元/㎡(均价),总价480-825(万/套),在售,建面 110-160㎡,"特价好房, 车位充足, 绿化率高, 国央企","3室, 4室","50000,  元/㎡(均价)"
广州国际创新驱动中心,黄埔,知识城,知识城南起步区知识大道以南、永九快速路以东,价格待定,,,待售,,"车位充足, 小型社区, 国央企, 品牌房企",,价格待定
越秀白云星汇城,白云,钟落潭,广龙路12号,18000, 元/㎡(均价),总价146-310(万/套),在售,建面 74-116㎡,"低单价, 低总价, 绿化率高, 人车分流","3室, 4室","18000,  元/㎡(均价)"
IN PARK星贸中心,黄埔,科学城,映日路IN PARK星贸中心,价格待定,,,待售,,"小型社区, 国央企, 品牌房企, 近地铁",,价格待定
力迅荔筑,荔湾,西场,东风西路南侧源溪大街东侧力迅荔筑,59000, 元/㎡(均价),总价448-762(万/套),在售,建面 69-130㎡,"人车分流, 小型社区, 品牌房企, 近地铁","3室, 4室","59000,  元/㎡(均价)"
合景臻溋名铸,天河,东圃,黄埔大道东合景臻溋名铸,价格待定,,,待售,,"小型社区, 品牌房企, 近地铁, 多轨交汇",,价格待定
保利越秀·天启,荔湾,鹤洞,培真路保利越秀·天启,25000, 元/㎡(均价),总价100-160(万/套),在售,建面 41-53㎡,"低总价, 人车分流, 封闭管理, 国央企","2室, 3室","25000,  元/㎡(均价)"
香江天辰,增城,凤凰城,G4香江天辰,13000, 元/㎡(均价),总价135(万/套),在售,建面 79-102㎡,"低单价, 低总价, 车位充足, 封闭管理",4室,"13000,  元/㎡(均价)"
保利明玥湖光,增城,增城碧桂园,挂绿湖纵三路保利明玥湖光,17000, 元/㎡(均价),总价133-215(万/套),在售,建面 84-121㎡,"车位充足, 人车分流, 国央企, 品牌房企","2室, 3室","17000,  元/㎡(均价)"
招商湾区1872,南沙,东涌,庆沙路招商湾区1872,价格待定,,,待售,,"人车分流, 小型社区, 国央企, 品牌房企",,价格待定
中铁阅江来,南沙,南沙区府,广东省广州市南沙区化工路,17000, 元/㎡(均价),总价175-315(万/套),在售,建面 88-126㎡,"特价好房, 低单价, 人车分流, 封闭管理","2室, 3室","17000,  元/㎡(均价)"
中国铁建西派澜岸,南沙,明珠湾,合兴路56号国际金融论坛IFF永久会址相距800米,30000, 元/㎡(均价),总价400-500(万/套),在售,建面 105-261㎡,"绿色建筑, 车位充足, 国央企, 品牌房企",3室,"30000,  元/㎡(均价)"
云城上品,白云,嘉禾望岗,广东省广州市白云区新石路145号,37000, 元/㎡(均价),总价250-380(万/套),在售,建面 72-105㎡,"低总价, 车位充足, 绿化率高, 国央企",3室,"37000,  元/㎡(均价)"
勤诚达悦城,黄埔,,洋田路勤诚达悦城,价格待定,,,待售,,"小型社区, 品牌房企, 公交直达, 超市",,价格待定
星际云汇,黄埔,香雪,广东省广州市黄埔区S117(开创大道),价格待定,,,在售,,"国央企, 近地铁, 地铁沿线, 小户型",,价格待定
珠实云悦花语,白云,钟落潭,广州市白云区钟落潭镇良城三路7号距广州14号线钟落潭地铁站A出口800米处,15000, 元/㎡(均价),总价110-180(万/套),在售,建面 70-98㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","15000,  元/㎡(均价)"
诚汇新都·榕诚湾,荔湾,汾水,花海路力诚榕诚湾,35000, 元/㎡(均价),总价480-860(万/套),在售,建面 85-165㎡,"低总价, 绿化率高, 人车分流, 品牌房企",4室,"35000,  元/㎡(均价)"
勤诚达悦峯,黄埔,科学城,黄登路勤诚达悦峯,价格待定,,,待售,,"小型社区, 品牌房企, 公交直达, 综合商场",,价格待定
珠江天郦,天河,棠下,广州市天河区中山大道西1150号,85000, 元/㎡(均价),总价1100-1900(万/套),在售,建面 129-180㎡,"车位充足, 人车分流, 品牌房企, 近地铁",4室,"85000,  元/㎡(均价)"
勤诚达悦府,黄埔,长岭居,长龙街勤诚达悦府,价格待定,,,待售,,"小型社区, 品牌房企, 地铁沿线, 公交直达",,价格待定
东江逸珑湾,增城,新塘南,沿江大道39号（甘泉小学东侧）,17000, 元/㎡(均价),总价200(万/套),在售,,"低单价, 人车分流, 大型社区, 品牌房企",,"17000,  元/㎡(均价)"
中海麓府,白云,江夏,广云路中海麓府,56000, 元/㎡(均价),总价700-1140(万/套),在售,建面 126-170㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","56000,  元/㎡(均价)"
祈福半山臻品,番禺,祈福新村,祈福天湖一街祈福半山臻品,30000, 元/㎡(均价),总价237-490(万/套),在售,建面 82-145㎡,"低单价, 低总价, 车位充足, 绿化率高","2室, 3室, 4室","30000,  元/㎡(均价)"
岭南V谷荔湾新天地,荔湾,广钢新城,荔信三街岭南V谷荔湾新天地,28000, 元/㎡(均价),总价110-250(万/套),在售,建面 36-70㎡,"低总价, 车位充足, 绿化率高, 国央企","2室, 3室, 4室","28000,  元/㎡(均价)"
越秀公交天悦云山府,白云,东平,白云大道北1697号,32000, 元/㎡(均价),总价290-780(万/套),在售,建面 90-156㎡,"低总价, 车位充足, 人车分流, 国央企","3室, 5室","32000,  元/㎡(均价)"
布查特官邸情景洋房,番禺,汉溪长隆,迎宾路锦绣香江花园山水华府,28000, 元/㎡(均价),总价150-355(万/套),在售,建面 43-128㎡,"低单价, 低总价, 绿化率高, 低密居所","1室, 3室","28000,  元/㎡(均价)"
玖玥,花都,铁路西,望亭路玖玥,11800, 元/㎡(均价),总价126-165(万/套),在售,建面 97-127㎡,"低单价, 低总价, 车位充足, 绿化率高","2室, 3室, 4室","11800,  元/㎡(均价)"
保利锦上,黄埔,香雪,广东省广州市黄埔区隧南路,29000, 元/㎡(均价),总价210-395(万/套),在售,建面 75-135㎡,"低总价, 车位充足, 绿化率高, 国央企",3室,"29000,  元/㎡(均价)"
越秀天河和樾府,天河,沙太南,广东省广州市天河区燕园路13号,85000, 元/㎡(均价),总价850-1600(万/套),在售,建面 108-180㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","85000,  元/㎡(均价)"
大华城东瀚,增城,朱村,广东省广州市增城区,13000, 元/㎡(均价),总价85-165(万/套),在售,建面 64-97㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室, 4室","13000,  元/㎡(均价)"
粤海·云港城,白云,白云大道南,云城西路粤海·云港城,价格待定,,,在售,,"小型社区, 国央企, 品牌房企, 近地铁",,价格待定
保利和悦滨江,荔湾,西朗,兴渔路保利和悦滨江,45000, 元/㎡(均价),总价360(万/套),在售,建面 74-107㎡,"低总价, 绿化率高, 人车分流, 国央企",,"45000,  元/㎡(均价)"
北大科技园·国际科创广场,白云,石井,石沙公路81号,价格待定,,,待售,,"小型社区, 近地铁, 地铁沿线, 综合商场",,价格待定
电建地产·洺悦玉府,番禺,市桥,禺山西路电建地产·洺悦玉府,价格待定,,,待售,,"车位充足, 国央企, 品牌房企, 公交直达",,价格待定
星河湾萝峰,黄埔,香雪,广东省广州市黄埔区萝岗路与启学路交叉口北200米,38000, 元/㎡(均价),总价480-1550(万/套),在售,建面 130-265㎡,"车位充足, 绿化率高, 品牌房企, 入户花园","3室, 5室","38000,  元/㎡(均价)"
越秀国际总部广场,南沙,金洲,金隆路越秀国际总部广场,价格待定,,,待售,,"人车分流, 大型社区, 国央企, 品牌房企",,价格待定
旭辉曜玥湾,南沙,明珠湾,国际金融岛横沥大道旁,价格待定,,,待售,,"车位充足, 大型社区, 品牌房企, 地铁沿线",,价格待定
中国铁建西派澜岸,南沙,明珠湾,长沙村西街中国铁建西派澜岸,价格待定,,,待售,,"人车分流, 封闭管理, 国央企, 品牌房企",,价格待定
星河江堤春晓,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,价格待定,,,待售,,"车位充足, 人车分流, 品牌房企, 近地铁",,价格待定
新鸿基地产峻銮,番禺,广州南站,广东省广州市番禺区韦涌路,45000, 元/㎡(均价),总价388-798(万/套),在售,建面 68-162㎡,"车位充足, 绿化率高, 品牌房企, 近地铁","3室, 4室","45000,  元/㎡(均价)"
卓粤广场,增城,新塘南,新塘大道东卓粤广场,价格待定,,,待售,,"小型社区, 公交直达, 综合商场, 超市",,价格待定
富丰华庭,增城,朱村,朱村大道西富丰华庭,13000, 元/㎡(均价),总价115-153(万/套),在售,建面 89-118㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室","13000,  元/㎡(均价)"
升龙·学府上城,黄埔,知识城,九龙大道,价格待定,,,待售,,"绿化率高, 小型社区, 品牌房企, 近地铁",,价格待定
长岭雅居,黄埔,长岭居,长贤路长岭雅居,46000, 元/㎡(均价),总价695-800(万/套),在售,建面 160-190㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"46000,  元/㎡(均价)"
珠实·嘉悦湾,白云,同德围,广东省广州市白云区同嘉路34号,38000, 元/㎡(均价),总价350-420(万/套),在售,建面 89-112㎡,"低总价, 车位充足, 人车分流, 国央企","4室, 5室","38000,  元/㎡(均价)"
国化广场,白云,白云大道南,广东省广州市白云区云城北二路116号,价格待定,,,待售,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
白鹅潭悦府,荔湾,芳村,广东省广州市荔湾区长堤街133号,100000, 元/㎡(均价),总价2500(万/套),在售,建面 135-243㎡,"车位充足, 人车分流, 国央企, 品牌房企",4室,"100000,  元/㎡(均价)"
君超中心,天河,金融城,黄埔大道中君超中心,价格待定,,,待售,,"人车分流, 小型社区, 近地铁, 多轨交汇",,价格待定
星晴雅筑,番禺,市桥北,市桥街光明北路儿童公园路口西侧,31000, 元/㎡(均价),总价276-288(万/套),在售,建面 89-93㎡,"低总价, 人车分流, 小型社区, 地铁沿线",2室,"31000,  元/㎡(均价)"
世纪金源天河源筑,天河,粤垦,东莞庄路世纪金源天河源筑,61888, 元/㎡(均价),总价550-1365(万/套),在售,建面 93-182㎡,"车位充足, 绿化率高, 品牌房企, 地铁沿线","3室, 4室, 5室","61888,  元/㎡(均价)"
茗筑水岸,南沙,明珠湾,庙南路茗筑水岸,价格待定,,,在售,,"绿化率高, 低密居所, 国央企, 置换改善",,价格待定
龙湖金地天峯,番禺,番禺客运站,傍雁路龙湖金地天峯,80000, 元/㎡(均价),总价150(万/套),在售,,"低总价, 人车分流, 大型社区, 品牌房企",,"80000,  元/㎡(均价)"
耀胜新世界广场,番禺,汉溪长隆,汉兴西路耀胜新世界广场,价格待定,,,待售,,"小型社区, 品牌房企, 近地铁, 多轨交汇",,价格待定
侨银大厦,荔湾,坑口,东漖大桥侨银大厦,价格待定,,,待售,,"小型社区, 地铁沿线, 公交直达, 超市",,价格待定
汉国置业港汇台,越秀,海珠广场,沿江中路港汇华庭二期,100000, 元/㎡(均价),总价700-1730(万/套),在售,建面 69-144㎡,"车位充足, 人车分流, 近地铁, 地铁沿线","2室, 3室","100000,  元/㎡(均价)"
越秀滨海花城,南沙,南沙区府,广澳高速越秀滨海花城,15000, 元/㎡(均价),总价108-129(万/套),在售,建面 75-97㎡,"低单价, 低总价, 车位充足, 人车分流",3室,"15000,  元/㎡(均价)"
广州城投东园公馆,越秀,越秀南,越秀南路广州城投东园公馆,130000, 元/㎡(均价),总价1000-2100(万/套),在售,建面 91-178㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","130000,  元/㎡(均价)"
中国铁建翰林新语,增城,新塘北,乌石大道中国铁建翰林新语,18000, 元/㎡(均价),总价130-180(万/套),在售,建面 72-95㎡,"车位充足, 人车分流, 国央企, 品牌房企","2室, 3室","18000,  元/㎡(均价)"
联投·文津府,天河,黄村,执信三路联投·文津府,58000, 元/㎡(均价),总价580-1100(万/套),在售,建面 111-165㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","58000,  元/㎡(均价)"
万科·理想花地·瑧园,荔湾,花地湾,广东省广州市荔湾区东漖北路191号,54000, 元/㎡(均价),总价560-1050(万/套),在售,建面 110-186㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","54000,  元/㎡(均价)"
万科·理想花地·朗庭,荔湾,花地湾,广东省广州市荔湾区花地大道北385号,47000, 元/㎡(均价),总价430-530(万/套),在售,建面 79-128㎡,"人车分流, 封闭管理, 国央企, 品牌房企","2室, 3室","47000,  元/㎡(均价)"
智联花园,番禺,莲花山,石楼镇智睿大街4号,30000, 元/㎡(均价),总价3000(万/套),在售,,"车位充足, 人车分流, 国央企, 品牌房企",,"30000,  元/㎡(均价)"
仟信广场,从化,河滨北路,仟信街12号,8000, 元/㎡(均价),总价45(万/套),在售,建面 51㎡,"低单价, 低总价, 车位充足, 绿化率高",1室,"8000,  元/㎡(均价)"
中建天河精诚壹号,天河,岑村,广东省广州市天河区长兴街道华观路以北，高唐路以西,52000, 元/㎡(均价),总价440-700(万/套),在售,建面 78-118㎡,"特价好房, 绿化率高, 人车分流, 国央企","2室, 3室, 4室","52000,  元/㎡(均价)"
鹏瑞1号,天河,东圃,黄埔大道东鹏瑞金融城,价格待定,,,在售,,"车位充足, 人车分流, 品牌房企, 近地铁",,价格待定
保利四季和颂,海珠,广州大道南,广东省广州市海珠区广州大道南788号,75000, 元/㎡(均价),总价1080(万/套),在售,建面 108-140㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"75000,  元/㎡(均价)"
中国铁建西派粤府,海珠,沥滘,南天路中国铁建西派粤府,65000, 元/㎡(均价),总价780-1200(万/套),在售,建面 120-140㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"65000,  元/㎡(均价)"
越秀珠实城发江湾和樾,海珠,工业大道中,广东省广州市海珠区昌岗西路,75000, 元/㎡(均价),总价1050-1500(万/套),在售,建面 107-188㎡,"车位充足, 大型社区, 国央企, 品牌房企",4室,"75000,  元/㎡(均价)"
