标题,地区,位置,具体位置,resblock-tag1 resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
珠光海珠新城,海珠,南洲,南洲路975号,"车位充足, 绿化率高, 多轨交汇, 地铁沿线",55000,总价475-2300(万/套),在售,"3室, 4室, 5室",建面 95-230㎡
公园海,南沙,南沙湾,环市大道南公园海,"车位充足, 绿化率高, 国央企, 品牌房企",价格待定,,待售,,
联发|悦璞园,增城,石滩镇,南北大道联发悦璞,"小型社区, 国央企, 品牌房企, 公交直达",价格待定,,待售,,
龙狮璟珑府,黄埔,知识城,Y079龙狮璟珑府,"低单价, 低总价, 绿化率高, 低密居所",23000,总价170-480(万/套),在售,"3室, 4室",建面 91-168㎡
广州城投·空港1号,花都,镜湖大道,广州市花都区雅新大道（黄广中学南侧）,"车位充足, 绿化率高, 国央企, 品牌房企",20000,总价190-270(万/套),在售,"3室, 4室",建面 79-112㎡
时代天境（花都）,花都,旧区,天贵路时代天境（花都）,"人车分流, 小型社区, 品牌房企, 地铁沿线",价格待定,,待售,,
粤海·云港城,白云,白云大道南,广东省广州市白云区齐心路84号（白云公园站旁）,"车位充足, 绿化率高, 国央企, 品牌房企",85000,总价1250-2500(万/套),在售,4室,建面 140-264㎡
力高大家·美颂,增城,荔城西区,增城区北绕线力高大家·美颂,"小型社区, 品牌房企, 地铁沿线, 公交直达",价格待定,,待售,,
珠江广钢花城,荔湾,东塱,广州市荔湾区荷景路5号,"低总价, 绿化率高, 国央企, 品牌房企",35000,总价310-460(万/套),在售,"3室, 4室, 5室",建面 67-114㎡
珠江·金瑶台,海珠,昌岗,广东省广州市海珠区崇礼大街18号,"特价好房, 绿化率高, 人车分流, 国央企",50000,总价400-510(万/套),在售,"2室, 3室",建面 79-103㎡
富好城繁华里,增城,新塘北,广东省广州市增城区富好城路30,"低单价, 低总价, 人车分流, 大型社区",12000,总价100-130(万/套),在售,3室,建面 85-101㎡
北大科技园·国际科创广场,白云,石井,石沙公路81号,"小型社区, 近地铁, 地铁沿线, 综合商场",价格待定,,待售,,
利通金融中心,南沙,明珠湾,潭州路利通金融中心,"车位充足, 大型社区, 品牌房企, 地铁沿线",25000,,在售,,
广州城投禧阅盛汇,增城,凤凰城,汽车城大道广州城投禧阅盛汇,"人车分流, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
富力富云山,白云,江夏,黄石西街23号,"小型社区, 品牌房企, 近地铁, 地铁沿线",价格待定,,待售,,
天地源伴山溪谷,番禺,石楼,沙东路天地源伴山溪谷,"低单价, 低总价, 车位充足, 绿化率高",22000,总价180-226(万/套),在售,"2室, 3室",建面 83-103㎡
广开控股城投云锦,黄埔,长岭居,萝岭路广开控股城投云锦,"车位充足, 人车分流, 国央企, 品牌房企",45000,总价550-870(万/套),在售,"3室, 4室",建面 124-186㎡
御璟兰园,南沙,明珠湾,凤凰大道融朗园,"低总价, 车位充足, 人车分流, 国央企",30000,总价445(万/套),在售,5室,建面 88-135㎡
合生中央城（商业）,黄埔,香雪,开源大道22号,"人车分流, 大型社区, 休闲会所, 自持商业",60000,总价220-260(万/套),在售,1室,建面 40-52㎡
星河江堤春晓,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,"车位充足, 人车分流, 品牌房企, 自持商业",33000,总价350(万/套),在售,,建面 99-133㎡
科苑壹号,南沙,南沙湾,广东省广州市南沙区南沙湾南横地铁站旁,"车位充足, 绿化率高, 国央企, 品牌房企",24000,总价430-550(万/套),在售,4室,建面 126-165㎡
越秀江海潮鸣,南沙,明珠湾,安益路越秀江海潮鸣,"车位充足, 人车分流, 国央企, 品牌房企",28000,总价301-520(万/套),在售,"2室, 3室",建面 96-140㎡
越秀大学城和樾府,番禺,国际创新城,兴业大道越秀·大学城·和樾府,"特价好房, 车位充足, 绿化率高, 国央企",50000,总价480-825(万/套),在售,"3室, 4室",建面 110-160㎡
广州国际创新驱动中心,黄埔,知识城,知识城南起步区知识大道以南、永九快速路以东,"车位充足, 小型社区, 国央企, 品牌房企",价格待定,,待售,,
越秀白云星汇城,白云,钟落潭,广龙路12号,"低单价, 低总价, 绿化率高, 人车分流",18000,总价146-310(万/套),在售,"3室, 4室",建面 74-116㎡
IN PARK星贸中心,黄埔,科学城,映日路IN PARK星贸中心,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
力迅荔筑,荔湾,西场,东风西路南侧源溪大街东侧力迅荔筑,"人车分流, 小型社区, 品牌房企, 近地铁",59000,总价448-762(万/套),在售,"3室, 4室",建面 69-130㎡
合景臻溋名铸,天河,东圃,黄埔大道东合景臻溋名铸,"小型社区, 品牌房企, 近地铁, 多轨交汇",价格待定,,待售,,
保利越秀·天启,荔湾,鹤洞,培真路保利越秀·天启,"低总价, 人车分流, 封闭管理, 国央企",25000,总价100-160(万/套),在售,"2室, 3室",建面 41-53㎡
香江天辰,增城,凤凰城,G4香江天辰,"低单价, 低总价, 车位充足, 封闭管理",13000,总价135(万/套),在售,4室,建面 79-102㎡
保利明玥湖光,增城,增城碧桂园,挂绿湖纵三路保利明玥湖光,"车位充足, 人车分流, 国央企, 品牌房企",17000,总价133-215(万/套),在售,"2室, 3室",建面 84-121㎡
招商湾区1872,南沙,东涌,庆沙路招商湾区1872,"人车分流, 小型社区, 国央企, 品牌房企",价格待定,,待售,,
中铁阅江来,南沙,南沙区府,广东省广州市南沙区化工路,"特价好房, 低单价, 人车分流, 封闭管理",17000,总价175-315(万/套),在售,"2室, 3室",建面 88-126㎡
中国铁建西派澜岸,南沙,明珠湾,合兴路56号国际金融论坛IFF永久会址相距800米,"绿色建筑, 车位充足, 国央企, 品牌房企",30000,总价400-500(万/套),在售,3室,建面 105-261㎡
云城上品,白云,嘉禾望岗,广东省广州市白云区新石路145号,"低总价, 车位充足, 绿化率高, 国央企",37000,总价250-380(万/套),在售,3室,建面 72-105㎡
勤诚达悦城,黄埔,,洋田路勤诚达悦城,"小型社区, 品牌房企, 公交直达, 超市",价格待定,,待售,,
星际云汇,黄埔,香雪,广东省广州市黄埔区S117(开创大道),"国央企, 近地铁, 地铁沿线, 小户型",价格待定,,在售,,
珠实云悦花语,白云,钟落潭,广州市白云区钟落潭镇良城三路7号距广州14号线钟落潭地铁站A出口800米处,"低单价, 低总价, 车位充足, 绿化率高",15000,总价110-180(万/套),在售,"3室, 4室",建面 70-98㎡
诚汇新都·榕诚湾,荔湾,汾水,花海路力诚榕诚湾,"低总价, 绿化率高, 人车分流, 品牌房企",35000,总价480-860(万/套),在售,4室,建面 85-165㎡
勤诚达悦峯,黄埔,科学城,黄登路勤诚达悦峯,"小型社区, 品牌房企, 公交直达, 综合商场",价格待定,,待售,,
珠江天郦,天河,棠下,广州市天河区中山大道西1150号,"车位充足, 人车分流, 品牌房企, 近地铁",85000,总价1100-1900(万/套),在售,4室,建面 129-180㎡
勤诚达悦府,黄埔,长岭居,长龙街勤诚达悦府,"小型社区, 品牌房企, 地铁沿线, 公交直达",价格待定,,待售,,
东江逸珑湾,增城,新塘南,沿江大道39号（甘泉小学东侧）,"低单价, 人车分流, 大型社区, 品牌房企",17000,总价200(万/套),在售,,
中海麓府,白云,江夏,广云路中海麓府,"车位充足, 人车分流, 国央企, 品牌房企",56000,总价700-1140(万/套),在售,"3室, 4室",建面 126-170㎡
祈福半山臻品,番禺,祈福新村,祈福天湖一街祈福半山臻品,"低单价, 低总价, 车位充足, 绿化率高",30000,总价237-490(万/套),在售,"2室, 3室, 4室",建面 82-145㎡
岭南V谷荔湾新天地,荔湾,广钢新城,荔信三街岭南V谷荔湾新天地,"低总价, 车位充足, 绿化率高, 国央企",28000,总价110-250(万/套),在售,"2室, 3室, 4室",建面 36-70㎡
越秀公交天悦云山府,白云,东平,白云大道北1697号,"低总价, 车位充足, 人车分流, 国央企",32000,总价290-780(万/套),在售,"3室, 5室",建面 90-156㎡
布查特官邸情景洋房,番禺,汉溪长隆,迎宾路锦绣香江花园山水华府,"低单价, 低总价, 绿化率高, 低密居所",28000,总价150-355(万/套),在售,"1室, 3室",建面 43-128㎡
玖玥,花都,铁路西,望亭路玖玥,"低单价, 低总价, 车位充足, 绿化率高",11800,总价126-165(万/套),在售,"2室, 3室, 4室",建面 97-127㎡
保利锦上,黄埔,香雪,广东省广州市黄埔区隧南路,"低总价, 车位充足, 绿化率高, 国央企",29000,总价210-395(万/套),在售,3室,建面 75-135㎡
越秀天河和樾府,天河,沙太南,广东省广州市天河区燕园路13号,"车位充足, 绿化率高, 国央企, 品牌房企",85000,总价850-1600(万/套),在售,"3室, 4室",建面 108-180㎡
大华城东瀚,增城,朱村,广东省广州市增城区,"低单价, 低总价, 车位充足, 人车分流",13000,总价85-165(万/套),在售,"2室, 3室, 4室",建面 64-97㎡
粤海·云港城,白云,白云大道南,云城西路粤海·云港城,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,在售,,
保利和悦滨江,荔湾,西朗,兴渔路保利和悦滨江,"低总价, 绿化率高, 人车分流, 国央企",45000,总价360(万/套),在售,,建面 74-107㎡
北大科技园·国际科创广场,白云,石井,石沙公路81号,"小型社区, 近地铁, 地铁沿线, 综合商场",价格待定,,待售,,
电建地产·洺悦玉府,番禺,市桥,禺山西路电建地产·洺悦玉府,"车位充足, 国央企, 品牌房企, 公交直达",价格待定,,待售,,
星河湾萝峰,黄埔,香雪,广东省广州市黄埔区萝岗路与启学路交叉口北200米,"车位充足, 绿化率高, 品牌房企, 入户花园",38000,总价480-1550(万/套),在售,"3室, 5室",建面 130-265㎡
越秀国际总部广场,南沙,金洲,金隆路越秀国际总部广场,"人车分流, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
旭辉曜玥湾,南沙,明珠湾,国际金融岛横沥大道旁,"车位充足, 大型社区, 品牌房企, 地铁沿线",价格待定,,待售,,
中国铁建西派澜岸,南沙,明珠湾,长沙村西街中国铁建西派澜岸,"人车分流, 封闭管理, 国央企, 品牌房企",价格待定,,待售,,
星河江堤春晓,南沙,明珠湾,广东省广州市南沙区凤凰大道横沥东路10号,"车位充足, 人车分流, 品牌房企, 近地铁",价格待定,,待售,,
新鸿基地产峻銮,番禺,广州南站,广东省广州市番禺区韦涌路,"车位充足, 绿化率高, 品牌房企, 近地铁",45000,总价388-798(万/套),在售,"3室, 4室",建面 68-162㎡
卓粤广场,增城,新塘南,新塘大道东卓粤广场,"小型社区, 公交直达, 综合商场, 超市",价格待定,,待售,,
富丰华庭,增城,朱村,朱村大道西富丰华庭,"低单价, 低总价, 车位充足, 人车分流",13000,总价115-153(万/套),在售,"2室, 3室",建面 89-118㎡
升龙·学府上城,黄埔,知识城,九龙大道,"绿化率高, 小型社区, 品牌房企, 近地铁",价格待定,,待售,,
长岭雅居,黄埔,长岭居,长贤路长岭雅居,"车位充足, 绿化率高, 国央企, 品牌房企",46000,总价695-800(万/套),在售,4室,建面 160-190㎡
珠实·嘉悦湾,白云,同德围,广东省广州市白云区同嘉路34号,"低总价, 车位充足, 人车分流, 国央企",38000,总价350-420(万/套),在售,"4室, 5室",建面 89-112㎡
国化广场,白云,白云大道南,广东省广州市白云区云城北二路116号,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
白鹅潭悦府,荔湾,芳村,广东省广州市荔湾区长堤街133号,"车位充足, 人车分流, 国央企, 品牌房企",100000,总价2500(万/套),在售,4室,建面 135-243㎡
君超中心,天河,金融城,黄埔大道中君超中心,"人车分流, 小型社区, 近地铁, 多轨交汇",价格待定,,待售,,
星晴雅筑,番禺,市桥北,市桥街光明北路儿童公园路口西侧,"低总价, 人车分流, 小型社区, 地铁沿线",31000,总价276-288(万/套),在售,2室,建面 89-93㎡
世纪金源天河源筑,天河,粤垦,东莞庄路世纪金源天河源筑,"车位充足, 绿化率高, 品牌房企, 地铁沿线",61888,总价550-1365(万/套),在售,"3室, 4室, 5室",建面 93-182㎡
茗筑水岸,南沙,明珠湾,庙南路茗筑水岸,"绿化率高, 低密居所, 国央企, 置换改善",价格待定,,在售,,
龙湖金地天峯,番禺,番禺客运站,傍雁路龙湖金地天峯,"低总价, 人车分流, 大型社区, 品牌房企",80000,总价150(万/套),在售,,
耀胜新世界广场,番禺,汉溪长隆,汉兴西路耀胜新世界广场,"小型社区, 品牌房企, 近地铁, 多轨交汇",价格待定,,待售,,
侨银大厦,荔湾,坑口,东漖大桥侨银大厦,"小型社区, 地铁沿线, 公交直达, 超市",价格待定,,待售,,
汉国置业港汇台,越秀,海珠广场,沿江中路港汇华庭二期,"车位充足, 人车分流, 近地铁, 地铁沿线",100000,总价700-1730(万/套),在售,"2室, 3室",建面 69-144㎡
越秀滨海花城,南沙,南沙区府,广澳高速越秀滨海花城,"低单价, 低总价, 车位充足, 人车分流",15000,总价108-129(万/套),在售,3室,建面 75-97㎡
广州城投东园公馆,越秀,越秀南,越秀南路广州城投东园公馆,"车位充足, 人车分流, 国央企, 品牌房企",130000,总价1000-2100(万/套),在售,"3室, 4室",建面 91-178㎡
中国铁建翰林新语,增城,新塘北,乌石大道中国铁建翰林新语,"车位充足, 人车分流, 国央企, 品牌房企",18000,总价130-180(万/套),在售,"2室, 3室",建面 72-95㎡
联投·文津府,天河,黄村,执信三路联投·文津府,"车位充足, 绿化率高, 国央企, 品牌房企",58000,总价580-1100(万/套),在售,"3室, 4室",建面 111-165㎡
万科·理想花地·瑧园,荔湾,花地湾,广东省广州市荔湾区东漖北路191号,"车位充足, 人车分流, 国央企, 品牌房企",54000,总价560-1050(万/套),在售,"3室, 4室",建面 110-186㎡
万科·理想花地·朗庭,荔湾,花地湾,广东省广州市荔湾区花地大道北385号,"人车分流, 封闭管理, 国央企, 品牌房企",47000,总价430-530(万/套),在售,"2室, 3室",建面 79-128㎡
智联花园,番禺,莲花山,石楼镇智睿大街4号,"车位充足, 人车分流, 国央企, 品牌房企",30000,总价3000(万/套),在售,,
仟信广场,从化,河滨北路,仟信街12号,"低单价, 低总价, 车位充足, 绿化率高",8000,总价45(万/套),在售,1室,建面 51㎡
中建天河精诚壹号,天河,岑村,广东省广州市天河区长兴街道华观路以北，高唐路以西,"特价好房, 绿化率高, 人车分流, 国央企",52000,总价440-700(万/套),在售,"2室, 3室, 4室",建面 78-118㎡
鹏瑞1号,天河,东圃,黄埔大道东鹏瑞金融城,"车位充足, 人车分流, 品牌房企, 近地铁",价格待定,,在售,,
保利四季和颂,海珠,广州大道南,广东省广州市海珠区广州大道南788号,"车位充足, 绿化率高, 国央企, 品牌房企",75000,总价1080(万/套),在售,4室,建面 108-140㎡
中国铁建西派粤府,海珠,沥滘,南天路中国铁建西派粤府,"车位充足, 绿化率高, 国央企, 品牌房企",65000,总价780-1200(万/套),在售,4室,建面 120-140㎡
越秀珠实城发江湾和樾,海珠,工业大道中,广东省广州市海珠区昌岗西路,"车位充足, 大型社区, 国央企, 品牌房企",75000,总价1050-1500(万/套),在售,4室,建面 107-188㎡
空港国际·科技谷,花都,花东镇,凤祥路空港国际·科技谷,"小型社区, 公交直达, 超市, 公园",价格待定,,待售,,
云平上品,白云,东平,白云大道北云庐,"车位充足, 绿化率高, 国央企, 品牌房企",55000,总价560-1080(万/套),在售,4室,建面 128-172㎡
品秀星图,增城,新塘北,广州地铁13号线官湖车辆段（官湖站B出口）,"车位充足, 人车分流, 国央企, 品牌房企",36000,,在售,,
越秀大学星汇锦城,番禺,南村,南村东线路越秀大学星汇锦城,"低单价, 低总价, 绿化率高, 人车分流",30000,总价220-400(万/套),在售,"3室, 4室",建面 70-126㎡
琶洲樾,海珠,磨碟沙,新港东路琶洲樾,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
保利·天瑞,天河,汇景新城,广园快速路保利·天瑞,"车位充足, 绿化率高, 国央企, 品牌房企",80000,总价890-2500(万/套),在售,"3室, 4室",建面 107-268㎡
珠江国际城,从化,神岗镇,广从南路珠江壹城,"人车分流, 大型社区, 品牌房企, 近地铁",19000,总价110(万/套),在售,1室,建面 26-53㎡
保利瑧誉,荔湾,坑口,东漖街保利瑧誉,"绿化率高, 人车分流, 国央企, 品牌房企",55000,总价520-950(万/套),在售,"3室, 4室",建面 88-170㎡
品秀·星瀚,番禺,广州南站,大榄地路品秀·星瀚,"低总价, 车位充足, 人车分流, 国央企",30000,总价80(万/套),在售,,
科城·新世代,黄埔,知识城,四横路科城·新世代,"小型社区, 近地铁, 地铁沿线, 超市",价格待定,,在售,,
丰盛101,增城,新塘北,民营西一路丰盛101,"小型社区, 品牌房企, 地铁沿线, 公交直达",价格待定,,待售,,
龙湖御湖境,番禺,大石,迎宾路龙湖御湖境,"车位充足, 绿化率高, 品牌房企, 地铁沿线",42000,总价480-888(万/套),在售,4室,建面 115-206㎡
珠实·西关都荟,荔湾,南岸路,荔湾区南岸路26号,"人车分流, 小型社区, 国央企, 品牌房企",70000,总价580-1100(万/套),在售,"4室, 5室",建面 89-142㎡
正升星荟,白云,石井,石沙公路正升星荟,"小型社区, 品牌房企, 近地铁, 地铁沿线",价格待定,,待售,,
保利锦上,黄埔,香雪,隧南路保利锦上,"车位充足, 人车分流, 国央企, 品牌房企",35000,总价190(万/套),在售,,建面 79㎡
光大ONE+,增城,永宁,香山大道与创盈路交汇处,"大型社区, 品牌房企, 公交直达, 超市",价格待定,,待售,,
上馨华府,番禺,大石,新光快速上馨华府,"低单价, 低总价, 绿化率高, 低密居所",28000,总价260(万/套),在售,,
广州地铁地产珑璟台,海珠,赤岗,龙潭东环街广州地铁地产·珑璟台,"人车分流, 小型社区, 国央企, 品牌房企",85000,总价900-2000(万/套),在售,"3室, 4室",建面 120-195㎡
万科瑧樾府,越秀,东川路,东濠涌高架路万科·瑧樾府,"小型社区, 封闭管理, 国央企, 品牌房企",90000,总价1375-1800(万/套),在售,"3室, 4室",建面 107-180㎡
广建·云城学府,白云,,广州市白云区广建·云城学府,"绿化率高, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
长隆万博悦府,番禺,汉溪长隆,汉溪大道东长隆万博悦府,"特价好房, 车位充足, 绿化率高, 国央企",65000,总价630-2300(万/套),在售,"4室, 5室",建面 108-300㎡
粤海壹桂府,越秀,海珠广场,北京路粤海壹桂府,"国央企, 品牌房企, 近地铁, 地铁沿线",价格待定,,待售,,
广州之窗商务港,海珠,沥滘,新城市中轴线南段端点西侧，南临珠江后航道,"大型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
亿凯创智汇,白云,太和,北太路亿凯创智汇,"小型社区, 地铁沿线, 公交直达, 综合商场",价格待定,,待售,,
晓庐,海珠,磨碟沙,新港东路晓庐,"小型社区, 近地铁, 地铁沿线, 超市",价格待定,,待售,,
东基天河阳光,天河,黄村,大观街东基·天河阳光,"低总价, 人车分流, 小型社区, 品牌房企",38000,总价120(万/套),在售,,
保利阅江台,海珠,滨江东,广东省广州市海珠区玉菡路50号,"车位充足, 人车分流, 国央企, 品牌房企",92000,总价1100-1900(万/套),在售,4室,建面 121-208㎡
广州足球公园,番禺,钟村,谢村地铁站旁,"大型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
江语上品苑,白云,石井,广州市白云区广海路以北,"车位充足, 人车分流, 国央企, 品牌房企",45000,总价570-2500(万/套),在售,"3室, 4室",建面 125-319㎡
淘金山花园,增城,朱村,朱村街淘金山花园,"小型社区, 超市",价格待定,,待售,,
旺村·知筑,黄埔,知识城,旺村西路旺村知筑,"小型社区, 国央企, 地铁沿线, 公交直达",价格待定,,待售,,
华润置地天河润府,天河,黄村,广州天河奥体天河区·广园快速路·天河儿童公园旁,"优惠楼盘, 车位充足, 绿化率高, 国央企",60000,总价410-800(万/套),在售,"3室, 4室",建面 81-130㎡
君熙府,越秀,北京路,解放中路392号,"车位充足, 人车分流, 近地铁, 地铁沿线",85000,总价733-1390(万/套),在售,"3室, 4室",建面 93-146㎡
云瀚府,越秀,东川路,白云路29-31号,"车位充足, 人车分流, 品牌房企, 近地铁",100000,总价1250-2100(万/套),在售,"3室, 5室",建面 130-197㎡
佳兆业佳泽园,增城,荔城西区,荔城街增城大道钟岗地铁D出口附近,"低单价, 车位充足, 人车分流, 品牌房企",18500,总价130(万/套),在售,,
保利水木芳华,增城,朱村,朱村大道西保利水木芳华,"人车分流, 小型社区, 国央企, 品牌房企",25000,总价130(万/套),待售,,
铂玥明珠ONE,南沙,明珠湾,文字路铂玥明珠ONE,"车位充足, 人车分流, 品牌房企, 近地铁",14000,总价92-119(万/套),在售,"2室, 3室",建面 54-70㎡
中海浣花里,荔湾,坑口,浣花路中海浣花里,"人车分流, 小型社区, 国央企, 品牌房企",46000,总价400(万/套),在售,,建面 71-108㎡
武汉城建·保利·花语和岸,荔湾,芳村,广东省广州市荔湾区花地街道涌岸街武汉城建·保利·花语和岸,"绿化率高, 人车分流, 品牌房企, 近地铁",51000,总价420-760(万/套),在售,"3室, 4室",建面 86-142㎡
青云喜满园,从化,旺城片区,和鸣路青云喜满园,"车位充足, 绿化率高, 公交直达, 综合商场",价格待定,,待售,,
朗悦时光里,花都,铁路西,瑞云路朗悦时光里,"人车分流, 小型社区, 近地铁, 地铁沿线",价格待定,,待售,,
保利琅誉,番禺,番禺客运站,广东省广州市番禺区傍雁路98号,"低总价, 车位充足, 绿化率高, 国央企",38000,总价330-490(万/套),在售,2室,建面 92-132㎡
路劲美的隽樾府,番禺,番禺广场,广东省广州市番禺区东盛路50号,"车位充足, 人车分流, 品牌房企, 近地铁",38000,总价430-510(万/套),在售,3室,建面 87-132㎡
明月豪庭,越秀,西门口,解放中路明月豪庭,"小型社区, 近地铁, 地铁沿线, 大两居",28000,总价321(万/套),在售,2室,建面 42-109㎡
保利和颂,荔湾,坑口,浣花路保利和颂,"低总价, 人车分流, 小型社区, 国央企",46000,总价370-469(万/套),在售,"1室, 3室",建面 72-99㎡
国贸云上,白云,嘉禾望岗,白云-嘉禾望岗/松园路国贸云上,"绿化率高, 人车分流, 国央企, 品牌房企",50000,总价390-615(万/套),在售,"3室, 4室",建面 85-143㎡
嘉禧天和大厦,天河,黄村,广州市天河区黄村康体路,"人车分流, 小型社区, 近地铁, 多轨交汇",价格待定,,待售,,
广州城投·天赋壹号,天河,金融城,广东省广州市天河区临江大道北,"人车分流, 小型社区, 国央企, 品牌房企",价格待定,,在售,,
中金岭南鑫贸大厦,南沙,明珠湾,沙嘴东路中金岭南鑫贸大厦,"小型社区, 国央企, 地铁沿线, 公交直达",价格待定,,待售,,
星河智荟二期,南沙,明珠湾,新村街星河智荟二期,"低单价, 低总价, 绿化率高, 人车分流",20000,总价400(万/套),在售,3室,建面 88-183㎡
建发央玺,白云,石井,石潭路444号,"大型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
建发明珠湾玺,南沙,明珠湾,凤凰大道建发明珠湾玺,"人车分流, 封闭管理, 国央企, 品牌房企",19500,总价70(万/套),在售,,
建发明珠湾玺,南沙,明珠湾,凤凰大道建发明珠湾玺,"低总价, 人车分流, 封闭管理, 国央企",19500,总价70-130(万/套),在售,"0室, 1室",建面 36-72㎡
金海岸花园观海,番禺,番禺客运站,广东省广州市番禺区金海岸大道87号,"绿化率高, 大平层, 动静分明, 现房",50000,总价1130-1590(万/套),在售,"4室, 5室",建面 220-318㎡
敏捷东樾府,增城,石滩镇,绿湖南路西南向,"车位充足, 人车分流, 品牌房企, 公交直达",价格待定,,待售,,
润悦,增城,荔城西区,广汕公路华润置地润悦,"大型社区, 国央企, 品牌房企, 公交直达",价格待定,,待售,,
中新知识城国际领军人才集聚区,黄埔,知识城,狮龙大道中（凤凰湖北岸）,"大型社区, 近地铁, 地铁沿线, 综合商场",价格待定,,待售,,
广州城投未来智都,白云,江夏,云康南路广州城投未来智都,"小型社区, 国央企, 近地铁, 地铁沿线",价格待定,,待售,,
奥园湾区智谷,南沙,东涌,纵三路奥园湾区智谷,"小型社区, 品牌房企, 地铁沿线, 公园",价格待定,,待售,,
高新仕林苑,黄埔,长岭居,广州黄埔长岭居萝岭路以东、长贤路以南,"车位充足, 绿化率高, 国央企, 品牌房企",35000,总价360-720(万/套),在售,"3室, 4室, 5室",建面 99-181㎡
越秀白云星汇城,白云,钟落潭,14号线钟落潭地铁站旁,"大型社区, 国央企, 品牌房企, 地铁沿线",价格待定,,待售,,
金茂万科都会四季商铺,增城,白江,新塘镇东江大道和沿江大道交汇处,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
国化广场,白云,白云大道南,广东省广州市白云区云城北二路116号,"车位充足, 人车分流, 近地铁, 地铁沿线",价格待定,,待售,,
东基天河阳光,天河,黄村,大观街东基·天河阳光,"人车分流, 小型社区, 品牌房企, 地铁沿线",价格待定,,待售,,
中海江泰里,海珠,江燕路,广东省广州市海珠区江泰路46号,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
星河畔月湾,南沙,横沥,新广一路星河畔月湾,"车位充足, 大型社区, 公交直达, 公园",价格待定,,待售,,
耀胜新世界广场,番禺,汉溪长隆,汉兴西路耀胜新世界广场,"小型社区, 品牌房企, 近地铁, 多轨交汇",价格待定,,待售,,
万科黄埔新城,黄埔,南岗,广东省广州市黄埔区沙步大路12,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
中建凤榕台,增城,朱村,新时路中建凤榕台,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
IN PARK星贸中心,黄埔,科学城,广东省广州市黄埔区科学城联和街道映日路74号,"人车分流, 封闭管理, 国央企, 品牌房企",价格待定,,在售,,
中建·星光城,白云,石井,石沙路与朝阳联滘街交界处,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
嘉禧天和,天河,黄村,黄村康体路嘉禧天和,"小型社区, 近地铁, 多轨交汇, 超市",价格待定,,待售,,
金祥大厦,荔湾,流花站前,站前路193号,"小型社区, 近地铁, 地铁沿线, 超市",价格待定,,待售,,
天鹅壹号,海珠,洪德,环岛路天鹅壹号,"小型社区, 近地铁, 多轨交汇, 超市",价格待定,,待售,,
粤海·云港城,白云,白云大道南,云城西路粤海·云港城,"人车分流, 大型社区, 国央企, 品牌房企",40000,总价580-660(万/套),在售,"3室, 4室",建面 129-148㎡
星河发展大厦,南沙,明珠湾,广东省广州市南沙区横沥镇星河发展大厦,"车位充足, 小型社区, 品牌房企, 地铁沿线",价格待定,,待售,,
迈谷·天河科融苑,天河,车陂,车陂西路迈谷科融苑,"小型社区, 近地铁, 地铁沿线, 超市",价格待定,,待售,,
银帝云珹天地,白云,白云大道南,云城东路银帝云珹天地,"车位充足, 人车分流, 品牌房企, 近地铁",价格待定,,待售,,
广州力合科创中心,白云,石井,石门街道广州力合科创中心,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
城投天禧,天河,智慧城,广州市天河区智慧城华观路与大观中路交界处(地铁21号线天河智慧城站B出口可达),"车位充足, 绿化率高, 国央企, 品牌房企",43000,总价450-650(万/套),在售,"3室, 4室",建面 108-138㎡
建鑫荔棠雅苑,增城,新塘北,广深大道中88号,"小型社区, 地铁沿线, 公交直达, 未来2年内交房",价格待定,,在售,,
新世界·天馥,荔湾,滘口,珠江桥南侧花卉研究所西侧,"低总价, 绿色建筑, 人车分流, 品牌房企",41000,总价295-620(万/套),在售,"3室, 4室",建面 76-139㎡
黄埔创新中心,黄埔,黄埔区府,丰乐北路雅居乐黄埔创新中心,"小型社区, 地铁沿线, 公交直达, 综合商场",价格待定,,待售,,
珠江国际创业中心,增城,新塘北,新塘镇创想路8号,"国央企, 品牌房企, 公交直达, 综合商场",价格待定,,待售,,
金茂万科都会四季,增城,白江,新塘镇东江大道和沿江大道交汇处,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
