标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,对数均价/平方米每元,对数总价,对数面积,是否是人车分流,是否是车位充足,是否是品牌房企,是否是绿化率高,是否是低总价,是否是国央企,是否是佛山楼盘,是否是低单价
广晟中国铁建花语天珹,花都,花城街,在售,21000,3室,138.0,320.0,9.95227771670556,5.768320995793772,4.927253685157205,0,1,1,1,0,1,0,0
金地商置都会峯范,花都,铁路西,在售,16500,2室,103.0,180.0,9.711115659888671,5.19295685089021,4.634728988229636,1,1,1,0,1,0,0,0
中建凤榕台,增城,朱村,在售,23000,4室,85.0,195.0,10.043249494911286,5.272999558563747,4.442651256490317,1,0,1,0,0,1,0,0
中铁建信达花语天宸,黄埔,科学城,在售,41000,4室,132.5,610.0,10.621327345686446,6.413458957167357,4.886582645426277,1,1,1,0,0,1,0,0
中盛顺和家园,增城,荔城增江,在售,12000,4室,113.0,160.0,9.392661928770137,5.075173815233827,4.727387818712341,1,1,0,0,1,0,0,1
中旅名门府,花都,镜湖大道,在售,18500,2室,98.0,200.0,9.825526011066415,5.298317366548036,4.584967478670572,0,1,0,1,1,1,0,0
中海保利朗阅,荔湾,西朗,在售,50000,3室,140.0,770.0,10.819778284410283,6.646390514847729,4.941642422609304,0,1,1,1,0,1,0,0
珠江未来城,番禺,莲花山,在售,11000,2室,52.0,67.5,9.305650551780507,4.212127597878484,3.9512437185814275,1,0,0,1,1,0,0,1
星河畔月湾,南沙,横沥,在售,20000,4室,103.0,210.0,9.903487552536127,5.3471075307174685,4.634728988229636,0,1,0,1,1,0,0,1
振业天成,黄埔,科学城,在售,39000,4室,136.0,649.0,10.571316925111784,6.47543271670409,4.912654885736052,0,1,1,1,0,1,0,0
绿城桂语汀澜,南沙,明珠湾,在售,28000,4室,119.5,333.0,10.239959789157341,5.808142489980444,4.783316371371566,0,1,1,1,0,1,0,0
招商湾区1872,南沙,东涌,在售,22000,4室,92.0,200.0,9.998797732340453,5.298317366548036,4.5217885770490405,1,1,0,0,1,0,0,1
海语天悦湾,南沙,明珠湾,在售,28000,2室,111.0,345.0,10.239959789157341,5.84354441703136,4.709530201312334,0,1,1,1,0,1,0,0
国贸学原,增城,荔城西区,在售,12600,3室,102.0,134.0,9.441452092939569,4.897839799950911,4.624972813284271,1,0,0,0,1,0,0,1
公交珠实花城云著,白云,夏茅,在售,35000,4室,78.0,284.5,10.46310334047155,5.6507332535663855,4.356708826689592,1,1,0,0,1,1,0,0
中海江泰里,海珠,江燕路,在售,65000,4室,90.0,625.0,11.082142548877775,6.437751649736401,4.499809670330265,1,0,1,1,0,1,0,0
保利水木芳华,增城,朱村,在售,12000,2室,85.0,132.0,9.392661928770137,4.882801922586371,4.442651256490317,1,0,0,0,1,0,0,1
保利领秀海,番禺,莲花山,在售,22000,4室,116.5,300.0,9.998797732340453,5.703782474656201,4.757891273005756,1,0,0,1,1,0,0,1
云麓花城,白云,太和,在售,23000,4室,82.0,197.0,10.043249494911286,5.2832037287379885,4.406719247264253,1,1,0,0,1,0,0,1
电建都汇府,花都,新区,在售,36000,4室,155.0,580.0,10.491274217438248,6.363028103540465,5.043425116919247,1,1,1,0,0,1,0,0
金地公园名著,增城,永宁,在售,11000,2室,87.5,87.5,9.305650551780507,4.471638793363569,4.471638793363569,1,1,0,0,1,0,0,1
中洲紫轩,黄埔,鱼珠,待售,35000,4室,78.0,353.0,10.46310334047155,5.8664680569332965,4.356708826689592,1,1,1,0,1,0,0,0
广垦天河1号,天河,沙太南,在售,30000,2室,40.0,122.0,10.308952660644293,4.804021044733257,3.6888794541139363,1,0,0,0,1,1,0,0
越秀星耀TOD,增城,新塘北,在售,16000,2室,50.5,81.0,9.680344001221918,4.394449154672439,3.9219733362813143,1,0,0,0,0,0,0,0
珠光海珠新城,海珠,南洲,在售,55000,4室,162.5,1387.5,10.915088464214607,7.2352588456205895,5.090678001769792,0,1,0,1,0,0,0,0
龙狮璟珑府,黄埔,知识城,在售,23000,4室,129.5,325.0,10.043249494911286,5.783825182329737,4.863680881139593,0,0,0,1,1,0,0,1
广州城投·空港1号,花都,镜湖大道,在售,20000,4室,95.5,230.0,9.903487552536127,5.438079308923196,4.5591262474866845,0,1,1,1,0,1,0,0
珠江广钢花城,荔湾,东塱,在售,35000,4室,90.5,385.0,10.46310334047155,5.953243334287785,4.505349850705881,0,0,1,1,1,1,0,0
珠江·金瑶台,海珠,昌岗,在售,50000,2室,91.0,455.0,10.819778284410283,6.12029741895095,4.51085950651685,1,0,0,1,0,1,0,0
富好城繁华里,增城,新塘北,在售,12000,3室,93.0,115.0,9.392661928770137,4.74493212836325,4.532599493153256,1,0,0,0,1,0,0,1
天地源伴山溪谷,番禺,石楼,在售,22000,2室,93.0,203.0,9.998797732340453,5.313205979041787,4.532599493153256,0,1,0,1,1,0,0,1
广开控股城投云锦,黄埔,长岭居,在售,45000,4室,155.0,710.0,10.714417768752456,6.565264970035361,5.043425116919247,1,1,1,0,0,1,0,0
御璟兰园,南沙,明珠湾,在售,30000,5室,111.5,445.0,10.308952660644293,6.09807428216624,4.7140245909001735,1,1,0,0,1,1,0,0
合生中央城（商业）,黄埔,香雪,在售,60000,1室,46.0,240.0,11.002099841204238,5.480638923341991,3.828641396489095,1,0,0,0,0,0,0,0
星河江堤春晓,南沙,明珠湾,在售,33000,4室,116.0,350.0,10.404262840448617,5.857933154483459,4.7535901911063645,1,1,1,0,0,0,0,0
科苑壹号,南沙,南沙湾,在售,24000,4室,145.5,490.0,10.085809109330082,6.194405391104672,4.980176086611547,0,1,1,1,0,1,0,0
越秀江海潮鸣,南沙,明珠湾,在售,28000,2室,118.0,410.5,10.239959789157341,6.017375928892483,4.770684624465665,1,1,1,0,0,1,0,0
越秀大学城和樾府,番禺,国际创新城,在售,50000,4室,135.0,652.5,10.819778284410283,6.480811139196849,4.90527477843843,0,1,0,1,0,1,0,0
越秀白云星汇城,白云,钟落潭,在售,18000,4室,95.0,228.0,9.798127036878302,5.429345628954441,4.553876891600541,1,0,0,1,1,0,0,1
力迅荔筑,荔湾,西场,在售,59000,4室,99.5,605.0,10.985292722887856,6.405228458030842,4.600157644164547,1,0,1,0,0,0,0,0
保利越秀·天启,荔湾,鹤洞,在售,25000,2室,47.0,130.0,10.126631103850338,4.867534450455582,3.8501476017100584,1,0,0,0,1,1,0,0
香江天辰,增城,凤凰城,在售,13000,4室,90.5,135.0,9.472704636443673,4.90527477843843,4.505349850705881,0,1,0,0,1,0,0,1
保利明玥湖光,增城,增城碧桂园,在售,17000,2室,102.5,174.0,9.740968623038354,5.159055299214529,4.629862798578463,1,1,1,0,0,1,0,0
中铁阅江来,南沙,南沙区府,在售,17000,2室,107.0,245.0,9.740968623038354,5.501258210544727,4.672828834461906,1,0,0,0,0,0,0,1
中国铁建西派澜岸,南沙,明珠湾,在售,30000,3室,183.0,450.0,10.308952660644293,6.1092475827643655,5.209486152841421,0,1,1,0,0,1,0,0
云城上品,白云,嘉禾望岗,在售,37000,3室,88.5,315.0,10.51867319162636,5.752572638825633,4.483002552013883,0,1,0,1,1,1,0,0
珠实云悦花语,白云,钟落潭,在售,15000,4室,84.0,145.0,9.615805480084347,4.976733742420574,4.430816798843313,0,1,0,1,1,0,0,1
诚汇新都·榕诚湾,荔湾,汾水,在售,35000,4室,125.0,670.0,10.46310334047155,6.507277712385012,4.8283137373023015,1,0,1,1,1,0,0,0
东江逸珑湾,增城,新塘南,在售,17000,4室,108.0,200.0,9.740968623038354,5.298317366548036,4.68213122712422,1,0,1,0,0,0,0,1
中海麓府,白云,江夏,在售,56000,4室,148.0,920.0,10.933106969717286,6.824373670043086,4.997212273764115,1,1,1,0,0,1,0,0
祈福半山臻品,番禺,祈福新村,在售,30000,3室,113.5,363.5,10.308952660644293,5.895779296973574,4.7318028369214575,0,1,0,1,1,0,0,1
岭南V谷荔湾新天地,荔湾,广钢新城,在售,28000,3室,53.0,180.0,10.239959789157341,5.19295685089021,3.970291913552122,0,1,0,1,1,1,0,0
越秀公交天悦云山府,白云,东平,在售,32000,4室,123.0,535.0,10.373491181781864,6.282266746896006,4.812184355372417,1,1,0,0,1,1,0,0
布查特官邸情景洋房,番禺,汉溪长隆,在售,28000,2室,85.5,252.5,10.239959789157341,5.531411248715415,4.448516375942715,0,0,0,1,1,0,0,1
玖玥,花都,铁路西,在售,11800,3室,112.0,145.5,9.375854810453756,4.980176086611547,4.718498871295094,0,1,0,1,1,0,0,1
保利锦上,黄埔,香雪,在售,29000,3室,105.0,302.5,10.275051108968611,5.7120812774708964,4.653960350157523,0,1,0,1,1,1,0,0
大华城东瀚,增城,朱村,在售,13000,3室,80.5,125.0,9.472704636443673,4.8283137373023015,4.388257184424518,1,1,0,0,1,0,0,1
保利和悦滨江,荔湾,西朗,在售,45000,4室,90.5,360.0,10.714417768752456,5.886104031450156,4.505349850705881,1,0,0,1,1,1,0,0
星河湾萝峰,黄埔,香雪,在售,38000,4室,197.5,1015.0,10.545341438708522,6.922643891475888,5.285738584341177,0,1,1,1,0,0,0,0
新鸿基地产峻銮,番禺,广州南站,在售,45000,4室,115.0,593.0,10.714417768752456,6.385194398997726,4.74493212836325,0,1,1,1,0,0,0,0
富丰华庭,增城,朱村,在售,13000,2室,103.5,134.0,9.472704636443673,4.897839799950911,4.639571612705423,1,1,0,0,1,0,0,1
长岭雅居,黄埔,长岭居,在售,46000,4室,175.0,747.5,10.736396675471232,6.616734305264841,5.1647859739235145,0,1,1,1,0,1,0,0
珠实·嘉悦湾,白云,同德围,在售,38000,4室,100.5,385.0,10.545341438708522,5.953243334287785,4.61015772749913,1,1,0,0,1,1,0,0
星晴雅筑,番禺,市桥北,在售,31000,2室,91.0,282.0,10.341742483467284,5.641907070938114,4.51085950651685,1,0,0,0,1,0,0,0
世纪金源天河源筑,天河,粤垦,在售,61888,4室,137.5,957.5,11.033081578812967,6.864325721054801,4.923623917106626,0,1,1,1,0,0,0,0
越秀滨海花城,南沙,南沙区府,在售,15000,3室,86.0,118.5,9.615805480084347,4.774912960575186,4.454347296253507,1,1,0,0,1,0,0,1
中国铁建翰林新语,增城,新塘北,在售,18000,2室,83.5,155.0,9.798127036878302,5.043425116919247,4.42484663185681,1,1,1,0,0,1,0,0
联投·文津府,天河,黄村,在售,58000,4室,138.0,840.0,10.968198289528557,6.733401891837359,4.927253685157205,0,1,1,1,0,1,0,0
万科·理想花地·瑧园,荔湾,花地湾,在售,54000,4室,148.0,805.0,10.896739325546411,6.690842277418564,4.997212273764115,1,1,1,0,0,1,0,0
万科·理想花地·朗庭,荔湾,花地湾,在售,47000,2室,103.5,480.0,10.757902880692196,6.173786103901937,4.639571612705423,1,0,1,0,0,1,0,0
智联花园,番禺,莲花山,在售,30000,4室,108.0,3000.0,10.308952660644293,8.006367567650246,4.68213122712422,1,1,1,0,0,1,0,0
仟信广场,从化,河滨北路,在售,8000,1室,51.0,45.0,8.987196820661973,3.8066624897703196,3.9318256327243257,0,1,0,1,1,0,0,1
中建天河精诚壹号,天河,岑村,在售,52000,3室,98.0,570.0,10.858998997563564,6.345636360828596,4.584967478670572,1,0,0,1,0,1,0,0
中国铁建西派粤府,海珠,沥滘,在售,65000,4室,130.0,990.0,11.082142548877775,6.897704943128636,4.867534450455582,0,1,1,1,0,1,0,0
云平上品,白云,东平,在售,55000,4室,150.0,820.0,10.915088464214607,6.709304340258298,5.0106352940962555,0,1,1,1,0,1,0,0
越秀大学星汇锦城,番禺,南村,在售,30000,4室,98.0,310.0,10.308952660644293,5.736572297479192,4.584967478670572,1,0,0,1,1,0,0,1
珠江国际城,从化,神岗镇,在售,19000,1室,39.5,110.0,9.852194258148577,4.700480365792417,3.676300671907076,1,0,1,0,0,0,0,0
保利瑧誉,荔湾,坑口,在售,55000,4室,129.0,735.0,10.915088464214607,6.5998704992128365,4.859812404361672,1,0,1,1,0,1,0,0
品秀·星瀚,番禺,广州南站,在售,30000,4室,108.0,80.0,10.308952660644293,4.382026634673881,4.68213122712422,1,1,0,0,1,1,0,0
龙湖御湖境,番禺,大石,在售,42000,4室,160.5,684.0,10.645424897265505,6.52795791762255,5.07829394257007,0,1,1,1,0,0,0,0
保利锦上,黄埔,香雪,在售,35000,4室,79.0,190.0,10.46310334047155,5.247024072160486,4.3694478524670215,1,1,1,0,0,1,0,0
上馨华府,番禺,大石,在售,28000,4室,108.0,260.0,10.239959789157341,5.560681631015528,4.68213122712422,0,0,0,1,1,0,0,1
长隆万博悦府,番禺,汉溪长隆,在售,65000,4室,204.0,1465.0,11.082142548877775,7.289610521451167,5.318119993844216,0,1,0,1,0,1,0,0
东基天河阳光,天河,黄村,在售,38000,4室,108.0,120.0,10.545341438708522,4.787491742782046,4.68213122712422,1,0,1,0,1,0,0,0
江语上品苑,白云,石井,在售,45000,4室,222.0,1535.0,10.714417768752456,7.336285660021297,5.402677381872279,1,1,1,0,0,1,0,0
华润置地天河润府,天河,黄村,在售,60000,4室,105.5,605.0,11.002099841204238,6.405228458030842,4.658710952916121,0,1,0,1,0,1,0,0
佳兆业佳泽园,增城,荔城西区,在售,18500,4室,108.0,130.0,9.825526011066415,4.867534450455582,4.68213122712422,1,1,1,0,0,0,0,1
保利水木芳华,增城,朱村,待售,25000,4室,108.0,130.0,10.126631103850338,4.867534450455582,4.68213122712422,1,0,1,0,0,1,0,0
铂玥明珠ONE,南沙,明珠湾,在售,14000,2室,62.0,105.5,9.546812608597396,4.658710952916121,4.127134385045092,1,1,1,0,0,0,0,0
中海浣花里,荔湾,坑口,在售,46000,4室,89.5,400.0,10.736396675471232,5.991464547107982,4.4942386252808095,1,0,1,0,0,1,0,0
武汉城建·保利·花语和岸,荔湾,芳村,在售,51000,4室,114.0,590.0,10.839580911706463,6.380122536899765,4.736198448394496,1,0,1,1,0,0,0,0
保利琅誉,番禺,番禺客运站,在售,38000,2室,112.0,410.0,10.545341438708522,6.016157159698354,4.718498871295094,0,1,0,1,1,1,0,0
路劲美的隽樾府,番禺,番禺广场,在售,38000,3室,109.5,470.0,10.545341438708522,6.152732694704104,4.695924549256556,1,1,1,0,0,0,0,0
明月豪庭,越秀,西门口,在售,28000,2室,75.5,321.0,10.239959789157341,5.771441123130016,4.324132656254979,0,0,0,0,0,0,0,0
保利和颂,荔湾,坑口,在售,46000,2室,85.5,419.5,10.736396675471232,6.0390635259072605,4.448516375942715,1,0,0,0,1,1,0,0
国贸云上,白云,嘉禾望岗,在售,50000,4室,114.0,502.5,10.819778284410283,6.219595639933231,4.736198448394496,1,0,1,1,0,1,0,0
星河智荟二期,南沙,明珠湾,在售,20000,3室,135.5,400.0,9.903487552536127,5.991464547107982,4.908971640319756,1,0,0,1,1,0,0,1
建发明珠湾玺,南沙,明珠湾,在售,19500,4室,108.0,70.0,9.878169744551839,4.248495242049359,4.68213122712422,1,0,1,0,0,1,0,0
建发明珠湾玺,南沙,明珠湾,在售,19500,0室,54.0,100.0,9.878169744551839,4.605170185988092,3.9889840465642745,1,0,0,0,1,1,0,0
金海岸花园观海,番禺,番禺客运站,在售,50000,4室,269.0,1360.0,10.819778284410283,7.215239978730097,5.594711379601839,0,0,0,1,0,0,0,0
高新仕林苑,黄埔,长岭居,在售,35000,4室,140.0,540.0,10.46310334047155,6.29156913955832,4.941642422609304,0,1,1,1,0,1,0,0
粤海·云港城,白云,白云大道南,在售,40000,4室,138.5,620.0,10.596634733096073,6.429719478039138,4.930870325627393,1,0,1,0,0,1,0,0
城投天禧,天河,智慧城,在售,43000,4室,123.0,550.0,10.668955394675699,6.309918278226516,4.812184355372417,0,1,1,1,0,1,0,0
新世界·天馥,荔湾,滘口,在售,41000,4室,107.5,457.5,10.621327345686446,6.125776884715576,4.677490847567717,1,0,1,0,1,0,0,0
广开云汇科技金融中心,黄埔,科学城,在售,28000,2室,81.5,222.5,10.239959789157341,5.404927101606295,4.400603020246817,1,0,1,0,0,1,0,0
中海天幕湾,番禺,亚运城,在售,36000,4室,208.5,850.0,10.491274217438248,6.745236349484363,5.339939041238856,1,1,1,0,0,1,0,0
云筑上品,白云,夏茅,在售,43000,4室,115.0,510.0,10.668955394675699,6.234410725718371,4.74493212836325,0,1,1,1,0,1,0,0
首开保利.云湖壹号,白云,夏茅,在售,47000,1室,30.0,140.0,10.757902880692196,4.941642422609304,3.4011973816621555,1,1,0,0,1,1,0,0
晟云台,白云,龙归,在售,35000,4室,108.0,2200.0,10.46310334047155,7.696212639346407,4.68213122712422,1,1,0,0,1,0,0,0
保利云境,白云,黄石,在售,36000,2室,89.0,280.0,10.491274217438248,5.634789603169249,4.48863636973214,1,0,0,1,1,1,0,0
越秀珠实天悦海湾,南沙,南沙港,在售,10000,4室,108.0,45.0,9.210340371976184,3.8066624897703196,4.68213122712422,1,1,0,0,1,1,0,0
广州白云站TOD粤胜广场,白云,同德围,在售,30000,1室,2439.0,7804.8,10.308952660644293,8.962494208021601,7.79934339821592,1,1,0,0,1,1,0,0
明月豪庭,越秀,西门口,在售,28000,2室,87.0,321.0,10.239959789157341,5.771441123130016,4.465908118654584,0,0,0,0,0,0,0,0
绿城·揽江印月,番禺,市桥,在售,29000,4室,145.0,345.0,10.275051108968611,5.84354441703136,4.976733742420574,0,1,0,1,1,0,0,1
保利琶洲四季,海珠,琶洲东,在售,40000,3室,117.0,540.0,10.596634733096073,6.29156913955832,4.762173934797756,1,0,1,0,0,1,0,0
致景轩,海珠,广州大道南,在售,52000,2室,94.0,497.5,10.858998997563564,6.209595556598647,4.543294782270004,1,1,0,0,0,0,0,0
珺筑水岸,南沙,万顷沙,在售,17000,4室,147.0,247.5,9.740968623038354,5.511410582008745,4.990432586778736,1,1,0,0,1,0,0,1
保利燕语堂悦,海珠,江燕路,在售,61000,4室,101.5,615.0,11.018629143155449,6.421622267806518,4.620058798481842,0,1,1,1,0,1,0,0
能建天河麓誉府,天河,高唐,在售,42000,4室,102.5,480.0,10.645424897265505,6.173786103901937,4.629862798578463,0,1,1,1,0,1,0,0
保利滨江和著,番禺,大石,在售,39000,4室,114.0,500.0,10.571316925111784,6.214608098422191,4.736198448394496,0,1,0,1,1,1,0,0
西派尊府,南沙,明珠湾,在售,50000,4室,324.0,1500.0,10.819778284410283,7.313220387090301,5.780743515792329,1,1,1,0,0,1,0,0
保利琅悦,花都,旧区,在售,24000,4室,137.5,300.0,10.085809109330082,5.703782474656201,4.923623917106626,0,1,1,1,0,1,0,0
星河盛世禧悦,黄埔,开发东区,在售,24000,4室,98.0,240.0,10.085809109330082,5.480638923341991,4.584967478670572,0,1,0,1,1,0,0,1
中旅·阿那亚·九龙湖,花都,北兴镇,在售,23000,4室,477.5,1125.0,10.043249494911286,7.025538314638521,6.168564159920785,0,0,0,1,0,1,0,0
城投湖山雅筑,花都,新区,在售,23000,4室,113.5,272.5,10.043249494911286,5.607638614103299,4.7318028369214575,0,1,1,1,0,1,0,0
知城翰林湖畔花园,黄埔,知识城,在售,18000,4室,84.5,162.5,9.798127036878302,5.090678001769792,4.436751534363128,1,0,0,1,1,0,0,1
越秀万博城,番禺,汉溪长隆,在售,51000,4室,145.5,815.0,10.839580911706463,6.703188113240863,4.980176086611547,0,1,1,1,0,1,0,0
中国铁建花语上城,南沙,南沙区府,在售,28500,4室,119.0,347.5,10.257659366256743,5.850764665004847,4.77912349311153,1,1,1,0,0,1,0,0
越秀·大学城·和樾府·飞鸟集,番禺,国际创新城,在售,20000,1室,40.5,83.0,9.903487552536127,4.418840607796598,3.7013019741124933,1,1,1,0,0,1,0,0
中铁阅江来,南沙,南沙区府,待售,24000,1室,47.0,109.0,10.085809109330082,4.6913478822291435,3.8501476017100584,1,1,0,0,1,1,0,0
大湾区诺德云城,白云,同德围,在售,32000,2室,55.0,164.5,10.373491181781864,5.1029105702054265,4.007333185232471,0,0,1,0,1,1,0,0
中建天钰,海珠,江燕路,在售,60000,4室,111.5,658.0,11.002099841204238,6.489204931325317,4.7140245909001735,0,1,1,1,0,1,0,0
大壮名城,黄埔,科学城,在售,50000,3室,115.5,655.0,10.819778284410283,6.484635235635252,4.749270529961848,0,1,0,1,0,0,0,0
中建未来方洲,黄埔,文冲,在售,42000,4室,110.5,485.0,10.645424897265505,6.184148890937483,4.705015520957808,0,1,0,1,1,1,0,0
雍晟河滨广场,从化,新城片区,在售,15500,4室,78.0,139.0,9.648595302907339,4.9344739331306915,4.356708826689592,1,0,1,0,0,0,0,0
智都绿城凤凰于飞,花都,新区,在售,23000,4室,126.0,299.5,10.043249494911286,5.702114417555504,4.836281906951478,1,1,1,0,0,1,0,0
广州城投禧悦时光,花都,镜湖大道,在售,17000,4室,98.0,167.5,9.740968623038354,5.120983351265121,4.584967478670572,0,1,0,1,1,1,0,0
广地花园,番禺,星河湾,在售,40000,4室,108.0,450.0,10.596634733096073,6.1092475827643655,4.68213122712422,0,1,1,0,0,0,0,0
广州城投禧悦府,增城,凤凰城,在售,38000,4室,108.0,240.0,10.545341438708522,5.480638923341991,4.68213122712422,0,0,1,0,0,1,0,0
中旅璞樾天序,花都,旧区,在售,19000,4室,104.0,191.5,9.852194258148577,5.2548878086207,4.6443908991413725,1,0,0,0,1,1,0,0
花都城投翰林世家,花都,花山镇,在售,18000,4室,151.0,305.0,9.798127036878302,5.720311776607412,5.017279836814924,0,1,1,1,0,1,0,0
增江创业广场,增城,荔城增江,在售,7850,1室,40.0,31.5,8.968268810776454,3.449987545831587,3.6888794541139363,1,0,0,0,0,0,0,0
广开·云翰,黄埔,知识城,在售,20000,3室,109.0,235.0,9.903487552536127,5.459585514144159,4.6913478822291435,0,1,0,1,1,0,0,1
智都越秀臻智府,花都,镜湖大道,在售,16800,4室,93.0,155.0,9.72913416539135,5.043425116919247,4.532599493153256,0,1,0,1,1,1,0,0
珠江壹城·禧悦花园,从化,神岗镇,在售,28000,1室,31.0,62.0,10.239959789157341,4.127134385045092,3.4339872044851463,1,1,1,0,0,0,0,0
保利翔龙天汇,黄埔,科学城,在售,27000,4室,108.0,500.0,10.203592144986466,6.214608098422191,4.68213122712422,1,1,1,0,0,1,0,0
广州兰园江悦,荔湾,滘口,在售,60000,4室,239.0,1250.0,11.002099841204238,7.1308988302963465,5.476463551931511,0,1,1,1,0,0,0,0
越秀珑悦西关,荔湾,南岸路,在售,50000,2室,83.0,412.5,10.819778284410283,6.022236205774735,4.418840607796598,1,0,1,0,0,1,0,0
招商林屿境,南沙,明珠湾,待售,30000,4室,103.5,295.0,10.308952660644293,5.68697535633982,4.639571612705423,1,0,1,0,0,1,0,0
中国美都,花都,镜湖大道,在售,10000,4室,1194.0,1475.0,9.210340371976184,7.29641326877392,7.085064293952548,0,1,1,0,0,0,0,0
广州白云站.金街,白云,同德围,在售,55000,1室,60.0,325.0,10.915088464214607,5.783825182329737,4.0943445622221,1,0,1,0,0,1,0,0
云瀚府,越秀,东川路,在售,43000,2室,55.5,238.5,10.668955394675699,5.474369310328396,4.0163830207523885,1,1,1,0,0,0,0,0
万博企业中心,番禺,汉溪长隆,在售,40000,10室,1726.0,7000.0,10.596634733096073,8.85366542803745,7.453561871643373,1,1,1,0,0,1,0,0
广汇新世界金融中心,增城,凤凰城,在售,20000,4室,108.0,650.0,9.903487552536127,6.476972362889683,4.68213122712422,1,1,0,0,0,0,0,0
白云堡悦融居,白云,东平,在售,22000,5室,366.5,1045.0,9.998797732340453,6.951772164398911,5.903998521326706,1,1,0,0,0,0,0,0
从化城投天悦湾,从化,鳌头镇,在售,6000,2室,81.5,50.5,8.699514748210191,3.9219733362813143,4.400603020246817,1,0,0,1,1,0,0,1
中恒海晖城,南海,小塘,在售,9500,3室,101.0,127.5,9.159047077588632,4.848116364598481,4.61512051684126,0,0,0,1,1,0,1,1
泷景花园,禅城,澜石,在售,17500,4室,137.0,280.0,9.769956159911606,5.634789603169249,4.919980925828125,1,0,1,0,0,0,1,0
太平洋国际花园,顺德,陈村,在售,16000,3室,142.5,415.0,9.680344001221918,6.028278520230698,4.959341999708705,1,0,0,1,1,0,1,0
嘉濠雅苑,顺德,北滘,在售,10500,2室,88.5,100.0,9.259130536145614,4.605170185988092,4.483002552013883,1,0,0,0,1,0,1,1
天晟·海琴湾,南海,丹灶,在售,8500,4室,171.5,177.5,9.047821442478408,5.178970608915471,5.144583266605995,0,1,0,1,0,0,1,1
光明花半里,南海,罗村,在售,12000,3室,138.5,131.5,9.392661928770137,4.879006851617819,4.930870325627393,1,0,0,0,1,0,1,1
珠水豪庭,南海,黄岐,在售,32000,4室,154.0,635.0,10.373491181781864,6.453624998892692,5.0369526024136295,1,0,0,0,0,0,1,0
中信山语湖,南海,里水,在售,9500,4室,128.5,130.5,9.159047077588632,4.871373226762748,4.855928904335275,1,0,0,0,1,0,1,1
美立方花园,南海,狮山,在售,13000,2室,116.5,148.0,9.472704636443673,4.997212273764115,4.757891273005756,1,0,0,0,1,0,1,1
东圣维拉,顺德,容桂,在售,9000,4室,128.0,158.0,9.104979856318357,5.062595033026967,4.852030263919617,0,0,0,1,1,0,1,1
广佛新世界,南海,大沥,在售,15000,4室,116.0,217.5,9.615805480084347,5.382198850528739,4.7535901911063645,0,0,0,1,1,0,1,0
藏珑华府,顺德,陈村,在售,15000,2室,133.0,270.0,9.615805480084347,5.598421958998375,4.890349128221754,1,0,0,1,1,0,1,0
博雅滨江,三水,西南街道,在售,8800,4室,230.5,205.0,9.082507000466299,5.3230099791384085,5.440250862436703,0,1,1,1,0,0,1,0
名铸家园,顺德,勒流,在售,11800,4室,144.0,182.0,9.375854810453756,5.204006687076795,4.969813299576001,0,1,0,0,1,0,1,1
美的鹭湖森林度假区,高明,杨和,在售,8900,2室,96.0,77.69999999999999,9.093806555720231,4.3528552573736015,4.564348191467836,0,0,0,1,0,0,1,0
鸿安花园,三水,北江新区,在售,8300,3室,117.0,108.0,9.02401079378469,4.68213122712422,4.762173934797756,1,0,0,0,0,0,1,1
欧浦花城,高明,杨和,在售,6000,3室,106.0,61.0,8.699514748210191,4.110873864173311,4.663439094112067,1,0,0,1,0,0,1,0
明智雅苑,三水,云东海街道,在售,7500,4室,127.5,125.0,8.922658299524402,4.8283137373023015,4.848116364598481,0,0,0,1,0,0,1,1
海骏达康格斯花园,顺德,大良西北区,在售,9500,4室,120.5,194.0,9.159047077588632,5.267858159063328,4.791649752930709,0,0,0,1,1,0,1,1
丽日坚美森林湖,三水,云东海街道,在售,7300,4室,133.0,97.5,8.895629627136483,4.579852378003801,4.890349128221754,0,1,0,1,0,0,1,1
丽日坚美森林湖,三水,云东海街道,在售,12000,4室,285.0,350.0,9.392661928770137,5.857933154483459,5.652489180268651,1,0,0,1,0,0,1,1
金钻华府,顺德,乐从,在售,11000,2室,63.5,85.0,9.305650551780507,4.442651256490317,4.151039905898646,1,0,0,0,1,0,1,1
圣德嘉园,禅城,南庄,在售,7500,3室,96.5,81.5,8.922658299524402,4.400603020246817,4.56954300834494,1,0,0,0,1,0,1,1
美的西江府,顺德,龙江,在售,8300,4室,116.0,179.0,9.02401079378469,5.187385805840755,4.7535901911063645,0,0,0,1,1,0,1,1
天晟·海琴湾,南海,丹灶,在售,23000,6室,530.5,1350.0,10.043249494911286,7.2078598714324755,6.2738199580540375,0,1,0,1,0,0,1,0
金地艺境天成,三水,大塘,在售,6500,2室,112.5,77.5,8.779557455883728,4.350277936359301,4.722953221644475,1,0,0,0,1,0,1,1
中粮珑湾祥云,禅城,湖景,在售,22000,4室,134.0,255.0,9.998797732340453,5.541263545158426,4.897839799950911,1,0,0,0,0,1,1,0
望德8号,禅城,湖景,在售,15500,4室,102.0,167.5,9.648595302907339,5.120983351265121,4.624972813284271,1,0,0,0,1,0,1,0
金融街金悦府,三水,云东海街道,在售,9000,3室,127.5,125.5,9.104979856318357,4.832305758571839,4.848116364598481,1,0,0,1,0,1,1,0
